ID,class
oRB8lJynqBA,True
of-UPoEnw_w,False
d28cz00HHto,False
Tftg_LnwTW0,False
qR0mkm65Whk,True
4224hp9wAl4,True
ycw3_rg3Xcs,True
NZfJiPZ9quA,False
vjeY5CBZpNU,True
ZtpWXGyRtSw,True
y3NB5SbE_64,False
Dh1kOx8TmlY,True
YkmD7NSQcjM,False
boEX5ywdYWc,True
ZIuOUS_46ZM,True
svG4y4SsTwI,True
1k0rGopJk38,False
8lgg-pVjOok,False
uEhv-4Eb9ms,False
NU1LmLe2JsU,True
f0d2HoyI1Q8,True
OiRGHtsBHhg,True
BZbChKzedEk,False
P55XYp2KD2Y,False
HU3aXj9q7lQ,False
fJ_PNOXycwg,True
ROkXM3csNWY,True
399ygVt5Z2U,True
S_yAAJ7akxU,True
DxBqgmxdgu8,True
AIHTS4-SdSI,False
7Q8bKE88008,True
4rooZtfDq90,True
OxPlCkTKhzY,False
aO1XF02f7Uo,False
P2jWOwOHEzU,False
QTftYyu68P0,True
WR0nMTr6uOo,False
oF9qAYdA6Qg,False
6CKreBiB8cQ,True
0DK4DKXP7Kw,True
vvYb70bwHwM,True
2u-djVesZW8,True
VDR8qGmyEQg,False
r9sErSlpPPc,True
iDjQ8oe1_fw,True
QyBJvq6Umzs,False
NVCJUHrhums,False
b0ms1yc-E3c,True
E67Klqw2H-E,True
VA_P3p7MI98,False
4tJJnC26_uw,True
MOWF8603Rqk,True
0KmP3GoIbQ0,False
9QVsGWsk7TU,False
0kxYyPg9b80,True
aIQRWq3S8fE,True
XeTW_CO-UJc,True
9ar1SYYKrKg,False
2zxDW5NW1fE,False
G7jM9GHTw1k,False
WwtuOnNNQQ0,False
CzCqiI3ELvY,True
gbRJPa9d-VU,False
7G90b_iEU7o,False
zmYiW_xMTKc,False
N_L7_ByzB54,True
cb_C5yiYRGE,False
0Cq54gL6bc0,True
KvCiYgupDsk,True
v4GzJwMaVCw,True
kLN0mZP0E2U,True
rl7iNRdTncQ,False
JEWzl4V2YBI,True
pLlv2o6UfTU,False
FY_ZUEKWhBc,False
JGWXm6voaK4,False
En4a-O-QPEg,True
qiavjgRoZQM,True
M2CMH57hXmY,False
qEdFJrNQkEU,False
byxEledFpEE,True
R2fqp0y9AEs,True
joqYcbmrNsM,True
jy-tpTD5JuY,True
_KbfyuiqejM,True
PCg0siuvzOA,True
Pwf7w0Jtou4,True
h0uRTN69rI0,True
MDI62C9XOqs,True
JARB9wHbGnw,True
tkD6QfeRil8,False
XKTuzkXc2uY,True
GFcOmOBeX-8,True
IhBStqs7onA,True
u8XaBJ8ow5A,False
Yl_K2Ata6XY,False
XCK23-H8r6w,True
KjI2G9bSsaQ,False
ATMPDAUBPnM,True
TUvquCOGs3U,False
